core.externalId,core.name,Parent: Domain,Parent: Subdomain,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.securityClassification,com.infa.ccgf.models.governance.AliasNames,com.infa.ccgf.models.governance.Examples,com.infa.ccgf.models.governance.BusinessLogic,Stakeholder: Admin,Stakeholder: Bank_Details_Owner,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
SDOM-35,SD2,DM2 | DOM-33,,bye2,Published,Public,,,,,,,,,"","","",,DM2/SD2,Update,"Mar 04, 2025, 11:59:35 AM",john,"Mar 04, 2025, 11:59:35 AM",john,02ec88b7-73ff-4c4f-a0a7-8710bed569c5,CDGC://4c4140a2-4e3f-4b08-9fb4-f2539b2561d8/02ec88b7-73ff-4c4f-a0a7-8710bed569c5,CDGC
SUB-DOMAIN-1,Sales & Service Channels,Product Development & Management | DOMAIN-1,,The Sales & Service Channels information domain,Published,Public,SSC,,,,,Selciya,,,"","","",Assigned,Product Development & Management/Sales & Service Channels,Update,"Jan 11, 2025, 08:11:24 AM",Selciya,"Jan 11, 2025, 08:11:24 AM",Selciya,0fa9f3fd-e3be-48e8-b626-ed314849e94f,CDGC://4b4ecc83-61f7-42d5-98ad-23749c7faf62/0fa9f3fd-e3be-48e8-b626-ed314849e94f,CDGC
GLOS-913,Employees Services,,Human Capital Services | GLOS-922,Employees Services,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/Human Capital Management/Human Capital Services/Employees Services,Update,"Sep 19, 2024, 06:08:43 AM",infa_admin,"Sep 19, 2024, 06:08:43 AM",infa_admin,1304e7ac-497b-45fe-abff-ef5afcd8f606,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/ffa49b9f-3b59-4031-8da5-091255267c58/1304e7ac-497b-45fe-abff-ef5afcd8f606,CDGC
Instructor-subdomain-24,Party Loyalty Account,Party | Instructor-domain-1,,"A party can be a member of a loyalty program and can have multiple loyalty accounts. A loyalty account can have loyalty status, such as elite, silver, gold, or platinum. The party can have preferences for the redemption of the loyalty points.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Loyalty Account,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,15e0c2b5-228d-4035-a2b3-d925c6238f3b,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/15e0c2b5-228d-4035-a2b3-d925c6238f3b,CDGC
SDOM-16,Sub Domain Employee Table,B2B DWH Rah | DOM-11,,testing purpose,Published,Confidential,Rah_Emp_Sub_Domain,,,,,AswathyNagarajan,kaviya,,"","","",Assigned,B2B DWH Rah/Sub Domain Employee Table,Update,"Oct 01, 2024, 07:59:21 AM",RahinR,"Oct 01, 2024, 07:59:21 AM",RahinR,18290c8e-5f11-4e29-b8eb-df97e57cb5ac,CDGC://90ac7f72-bed2-4bed-b65e-85bce5152123/18290c8e-5f11-4e29-b8eb-df97e57cb5ac,CDGC
GLOS-916,Sourcing and Assessment,,Talent Acquisition | GLOS-923,Sourcing and Assessment,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/Human Capital Management/Talent Acquisition/Sourcing and Assessment,Update,"Sep 19, 2024, 06:08:43 AM",infa_admin,"Sep 19, 2024, 06:08:43 AM",infa_admin,33064f6b-71c5-4898-ba81-0ba8fb7414bb,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c/33064f6b-71c5-4898-ba81-0ba8fb7414bb,CDGC
SDOM-24,FF_RAH_CUSTOMER,RAH_FF_DOMAIN | DOM-18,,,Published,,FF_RAH_CUSTOMER,,,,,RahinR,,,"","","",Assigned,RAH_FF_DOMAIN/FF_RAH_CUSTOMER,Update,"Jan 10, 2025, 09:33:04 AM",RahinR,"Jan 10, 2025, 09:45:07 AM",RahinR,342b9ea6-bc66-4623-b1f4-ae63dcd5ad89,CDGC://72405ab7-d259-4dd8-9ac2-e9bd2d2893bb/342b9ea6-bc66-4623-b1f4-ae63dcd5ad89,CDGC
Subdomain-1,Employee Details,AS_HR | Domain-1,,Details of the employee,Published,Public,EMP,,,,,anfeezas,,,"","","",Assigned,AS_HR/Employee Details,Update,"Jan 13, 2025, 05:28:23 AM",anfeezas,"Jan 13, 2025, 05:28:23 AM",anfeezas,3664eeb3-5f92-483e-a55d-71575e4e0c65,CDGC://cc017be5-6641-411a-8949-d0f5d2ccda45/3664eeb3-5f92-483e-a55d-71575e4e0c65,CDGC
SDOM-28,SD_AS_Demo,D_AS_Demo | DOM-21,,,Published,Public,,,,,,AshikaA,,,"","","",Assigned,D_AS_Demo/SD_AS_Demo,Update,"Jan 22, 2025, 12:46:41 PM",AshikaA,"Jan 22, 2025, 12:46:41 PM",AshikaA,46871e18-a5b9-41d4-910e-90124e375027,CDGC://d3015593-8c0b-4a93-8f36-f36310da96ae/46871e18-a5b9-41d4-910e-90124e375027,CDGC
GLOS-1012,IT & Digitization,Business Glossary | BG-00,,IT & Digitization,Published,Public,,,,,,,,,"","","",,Business Glossary/IT & Digitization,Update,"Sep 19, 2024, 05:44:12 AM",infa_admin,"Sep 19, 2024, 05:44:12 AM",infa_admin,56b53872-86cc-421a-a96e-802744fba310,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/56b53872-86cc-421a-a96e-802744fba310,CDGC
Instructor-subdomain-30,Party Tax,Party | Instructor-domain-1,,"Tax details of a party include taxation country, tax payer type, tax number, and tax authority.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Tax,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,5f45f645-5e21-46b1-878c-17ed2bdbbe1f,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/5f45f645-5e21-46b1-878c-17ed2bdbbe1f,CDGC
GLOS-920,IT Infrastructure and Information Security Solutions,,IT & Digitization | GLOS-1012,IT Infrastructure and Information Security Solutions,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/IT & Digitization/IT Infrastructure and Information Security Solutions,Update,"Sep 19, 2024, 06:01:51 AM",infa_admin,"Sep 19, 2024, 06:01:51 AM",infa_admin,630f9f98-9765-47b4-bb84-a26a1a9ebfd3,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/56b53872-86cc-421a-a96e-802744fba310/630f9f98-9765-47b4-bb84-a26a1a9ebfd3,CDGC
Instructor-subdomain-17,Party Classification,Party | Instructor-domain-1,,"Parties can be classified based on ownership, liability, industry classification, minority classification, size classification, income classification, or specialization. For example, you might use the North American Industry Classification System (NAICS) or the Standard Industrial Classification (SIC) to categorize parties. In the healthcare sector, you might classify parties based on specialities, such as pediatrics or ophthalmology.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Classification,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,64db4abf-56e6-42fc-9823-fdc25d45a37e,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/64db4abf-56e6-42fc-9823-fdc25d45a37e,CDGC
SDOM-36,SD3,DM3 | DOM-31,,bye3,Published,Public,,,,,,,,,"","","",,DM3/SD3,Update,"Mar 04, 2025, 11:59:35 AM",john,"Mar 04, 2025, 11:59:35 AM",john,6b31c0e4-d8c3-4da4-89e0-be3dff7328e7,CDGC://e6866de8-2e42-4e13-a9b7-347b77148daa/6b31c0e4-d8c3-4da4-89e0-be3dff7328e7,CDGC
Instructor-subdomain-10,Party Employment,,Person | Instructor-subdomain-4,"Employment details of a party comprise the name of employer, line of business, location, etc.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Person/Party Employment,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,79407bed-1880-4440-bb5f-cc9dc34298f5,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/79407bed-1880-4440-bb5f-cc9dc34298f5,CDGC
